#  lam         dvdl           ee         rmsd
 0.000   40.2342025    0.0829374    4.2921533
 0.050   38.1217748    0.1552966    5.3789807
 0.100   35.9212957    0.1554410    6.6867327
 0.150   33.7990560    0.1909248    7.9933799
 0.200   31.7293773    0.2702568    9.2728402
 0.250   29.7432946    0.2726977   10.3659583
 0.300   26.9269344    0.2842190   12.8447428
 0.350   24.2520918    0.1816410   14.3585554
 0.400   21.4874833    0.3527663   15.7683478
 0.450   19.0473241    0.3082681   18.4615990
 0.500   13.5973705    0.4987801   21.4799176
 0.550    8.6779028    0.8936964   25.1083626
 0.600    1.8415778    0.6090390   29.5725795
 0.650   -9.8179661    0.7757534   37.2195724
 0.700  -23.7647258    1.6325740   44.1480441
 0.750  -43.1200485    1.3120031   49.9712812
 0.800  -63.2653110    3.0913556   60.5935237
 0.825  -82.7466633    2.4140493   61.9037117
 0.850  -85.3269929    2.9037472   55.4779122
 0.875  -85.4689770    1.2376158   42.8368211
 0.900  -67.4906655    1.0009161   32.7202664
 0.950  -32.6884480    0.4036057   17.6234007
 1.000   -0.8916936    0.1493781    9.8135755
