TITLE
	rmsd-matrix for 200 + 1 (ref) = 201 structures
END
RMSDMAT
# number of frames   skip   stride
201	0	10
# precision
10000
       0       1       0
       0       2     958
       0       3    1346
       0       4    1258
       0       5    1395
       0       6    1332
       0       7    1504
       0       8    1415
       0       9    1417
       0      10    1419
       0      11    1396
       0      12    1487
       0      13    1547
       0      14    1592
       0      15    1528
       0      16    1476
       0      17    1688
       0      18    1775
       0      19    1618
       0      20    1678
       0      21    1632
       0      22    1598
       0      23    1530
       0      24    1621
       0      25    1677
       0      26    1879
       0      27    1875
       0      28    1900
       0      29    2013
       0      30    2005
       0      31    1913
       0      32    1953
       0      33    1944
       0      34    1968
       0      35    1850
       0      36    1829
       0      37    1871
       0      38    2032
       0      39    1839
       0      40    1667
       0      41    1665
       0      42    1692
       0      43    1716
       0      44    1727
       0      45    1765
       0      46    1667
       0      47    1696
       0      48    1674
       0      49    1656
       0      50    1755
       0      51    1892
       0      52    1829
       0      53    1791
       0      54    1686
       0      55    1723
       0      56    1798
       0      57    1792
       0      58    1882
       0      59    1920
       0      60    1882
       0      61    1757
       0      62    1884
       0      63    1718
       0      64    1942
       0      65    1748
       0      66    1852
       0      67    1642
       0      68    1617
       0      69    1688
       0      70    1748
       0      71    1719
       0      72    1831
       0      73    1799
       0      74    1871
       0      75    1898
       0      76    1964
       0      77    1967
       0      78    1825
       0      79    1915
       0      80    2083
       0      81    1983
       0      82    1987
       0      83    1937
       0      84    2067
       0      85    2109
       0      86    2256
       0      87    2286
       0      88    2108
       0      89    2119
       0      90    2052
       0      91    2113
       0      92    2063
       0      93    1849
       0      94    1982
       0      95    2165
       0      96    2040
       0      97    2113
       0      98    2168
       0      99    2220
       0     100    2300
       0     101    2299
       0     102    2359
       0     103    2302
       0     104    2152
       0     105    2128
       0     106    2108
       0     107    2136
       0     108    2270
       0     109    2304
       0     110    2330
       0     111    2303
       0     112    2311
       0     113    2372
       0     114    2269
       0     115    2139
       0     116    2294
       0     117    2089
       0     118    2210
       0     119    2225
       0     120    2415
       0     121    2535
       0     122    2238
       0     123    2157
       0     124    2095
       0     125    2038
       0     126    2204
       0     127    2156
       0     128    2072
       0     129    2099
       0     130    2140
       0     131    2144
       0     132    2199
       0     133    2050
       0     134    2113
       0     135    2001
       0     136    1920
       0     137    1882
       0     138    1940
       0     139    1974
       0     140    1884
       0     141    1880
       0     142    1993
       0     143    1993
       0     144    1982
       0     145    1975
       0     146    2170
       0     147    2099
       0     148    2157
       0     149    2062
       0     150    2064
       0     151    1995
       0     152    2103
       0     153    2254
       0     154    2126
       0     155    2190
       0     156    2182
       0     157    2093
       0     158    2181
       0     159    2032
       0     160    2048
       0     161    1880
       0     162    1993
       0     163    1993
       0     164    1982
       0     165    1975
       0     166    2170
       0     167    2099
       0     168    2157
       0     169    2062
       0     170    2064
       0     171    1995
       0     172    2103
       0     173    2254
       0     174    2126
       0     175    2190
       0     176    2182
       0     177    2093
       0     178    2181
       0     179    2032
       0     180    2048
       0     181    2172
       0     182    2124
       0     183    2174
       0     184    2266
       0     185    2197
       0     186    2194
       0     187    2171
       0     188    2204
       0     189    2255
       0     190    2341
       0     191    2381
       0     192    2301
       0     193    2457
       0     194    2222
       0     195    2152
       0     196    2251
       0     197    2247
       0     198    2246
       0     199    2290
       0     200    2268
       1       2     958
       1       3    1346
       1       4    1258
       1       5    1395
       1       6    1332
       1       7    1504
       1       8    1415
       1       9    1417
       1      10    1419
       1      11    1396
       1      12    1487
       1      13    1547
       1      14    1592
       1      15    1528
       1      16    1476
       1      17    1688
       1      18    1775
       1      19    1618
       1      20    1678
       1      21    1632
       1      22    1598
       1      23    1530
       1      24    1621
       1      25    1677
       1      26    1879
       1      27    1875
       1      28    1900
       1      29    2013
       1      30    2005
       1      31    1913
       1      32    1953
       1      33    1944
       1      34    1968
       1      35    1850
       1      36    1829
       1      37    1871
       1      38    2032
       1      39    1839
       1      40    1667
       1      41    1665
       1      42    1692
       1      43    1716
       1      44    1727
       1      45    1765
       1      46    1667
       1      47    1696
       1      48    1674
       1      49    1656
       1      50    1755
       1      51    1892
       1      52    1829
       1      53    1791
       1      54    1686
       1      55    1723
       1      56    1798
       1      57    1792
       1      58    1882
       1      59    1920
       1      60    1882
       1      61    1757
       1      62    1884
